U_CE       , I_CE
10.113e-3  , 0.3106
21.275e-3  , 1.083
30.875e-3  , 1.975
46.862e-3  , 4.009
59.968e-3  , 6.204
79.020e-3  , 10.062
93.731e-3  , 13.284
116.083e-3 , 17.878
0.14103    , 21.844
0.15583    , 23.514
0.17641    , 25.120
0.20131    , 26.282
0.2616     , 27.467
0.362      , 27.908
0.411      , 27.954
0.502      , 27.998
0.6512     , 28.041
0.7683     , 28.069
0.8641     , 28.089
1.4871     , 28.205
2.5251     , 28.365
3.475      , 28.501
5.057      , 28.708
6.868      , 28.938
8.2409     , 29.116
9.4846     , 29.277
10.0031    , 29.419
